iter	Passed	Remaining
605	3347	105097
606	3352	105073
607	3357	105056
608	3363	105047
609	3368	105023
610	3372	104994
611	3378	104986
612	3383	104962
613	3388	104938
614	3393	104917
615	3398	104895
616	3403	104874
617	3408	104858
618	3413	104839
619	3418	104825
620	3423	104800
621	3428	104778
622	3433	104755
623	3439	104777
624	3444	104758
625	3449	104729
626	3454	104702
627	3460	104707
628	3467	104748
629	3473	104766
630	3479	104768
631	3485	104768
632	3490	104753
633	3495	104738
634	3500	104718
635	3505	104691
636	3510	104666
637	3514	104637
638	3519	104610
639	3524	104586
640	3529	104557
641	3534	104536
642	3539	104518
643	3544	104515
644	3550	104502
645	3555	104489
646	3560	104471
647	3565	104460
648	3570	104439
649	3576	104443
650	3582	104444
651	3588	104465
652	3596	104533
653	3603	104567
654	3612	104664
655	3619	104704
656	3627	104761
657	3634	104794
658	3642	104855
659	3649	104898
660	3656	104930
661	3662	104932
662	3666	104908
663	3672	104899
664	3677	104887
665	3682	104874
666	3688	104862
667	3693	104855
668	3699	104846
669	3704	104825
670	3709	104804
671	3713	104781
672	3718	104757
673	3723	104734
674	3728	104707
675	3733	104682
676	3738	104663
677	3743	104637
678	3747	104610
679	3752	104586
680	3757	104566
681	3762	104547
682	3767	104526
683	3773	104514
684	3778	104506
685	3783	104488
686	3788	104470
687	3793	104451
688	3798	104428
689	3803	104405
690	3808	104387
691	3813	104363
692	3818	104337
693	3823	104323
694	3828	104301
695	3833	104285
696	3838	104268
697	3843	104247
698	3848	104222
699	3852	104196
700	3857	104173
701	3862	104150
702	3867	104131
703	3872	104119
704	3877	104103
705	3883	104089
706	3888	104080
707	3893	104063
708	3898	104042
709	3903	104031
710	3908	104010
711	3913	103986
712	3918	103962
713	3923	103943
714	3928	103921
715	3933	103906
716	3938	103888
717	3943	103869
718	3948	103850
719	3953	103830
720	3958	103811
721	3963	103794
722	3968	103772
723	3972	103752
724	3978	103746
725	3983	103739
726	3988	103721
727	3993	103695
728	3998	103670
729	4003	103649
730	4008	103627
731	4012	103603
732	4017	103584
733	4022	103564
734	4027	103547
735	4032	103524
736	4037	103503
737	4042	103483
738	4046	103457
739	4052	103447
740	4057	103429
741	4062	103407
742	4067	103393
743	4072	103376
744	4077	103358
745	4082	103341
746	4087	103325
747	4092	103304
748	4097	103284
749	4102	103271
750	4106	103247
751	4111	103223
752	4116	103206
753	4121	103192
754	4126	103176
755	4131	103158
756	4137	103146
757	4141	103127
758	4147	103115
759	4152	103106
760	4157	103090
761	4162	103071
762	4167	103060
763	4190	103490
764	4196	103504
765	4203	103522
766	4210	103543
767	4215	103544
768	4220	103525
769	4225	103504
770	4230	103489
771	4236	103480
772	4241	103463
773	4246	103450
774	4251	103431
775	4255	103409
776	4260	103385
777	4265	103369
778	4270	103348
779	4275	103325
780	4280	103302
781	4285	103290
782	4290	103270
783	4295	103250
784	4300	103235
785	4305	103222
786	4310	103214
787	4316	103215
788	4321	103205
789	4326	103194
790	4332	103183
791	4337	103167
792	4342	103151
793	4347	103135
794	4352	103116
795	4357	103097
796	4362	103088
797	4367	103081
798	4372	103063
799	4377	103052
800	4383	103040
801	4387	103018
802	4392	102997
803	4397	102977
804	4402	102957
805	4407	102935
806	4412	102916
807	4417	102899
808	4422	102889
809	4427	102872
810	4432	102859
811	4437	102842
812	4442	102828
813	4449	102859
814	4455	102870
815	4461	102864
816	4466	102849
817	4471	102831
818	4475	102808
819	4480	102794
820	4486	102780
821	4490	102759
822	4495	102739
823	4500	102723
824	4505	102704
825	4510	102690
826	4515	102679
827	4520	102664
828	4526	102651
829	4531	102636
830	4535	102615
831	4541	102606
832	4546	102590
833	4551	102579
834	4556	102566
835	4561	102556
836	4567	102567
837	4573	102563
838	4578	102550
839	4583	102544
840	4589	102533
841	4594	102521
842	4600	102541
843	4608	102575
844	4614	102600
845	4621	102617
846	4628	102647
