iter	Accuracy	MultiClass
301	0.8006725397	0.4978187902
302	0.8007951381	0.4975629324
303	0.8010228208	0.4973343356
304	0.8011279051	0.4971488702
305	0.8010228208	0.4968452254
306	0.8012680176	0.4965715146
307	0.8014256441	0.4962536614
308	0.8013731019	0.4960137812
309	0.8014256441	0.4958563046
310	0.8014606722	0.4955683515
311	0.8016182987	0.4954143755
312	0.801723383	0.4952310729
313	0.8018985236	0.4949715255
314	0.8019685798	0.4947663991
315	0.802021122	0.4945760443
316	0.8020561501	0.4942638491
317	0.8023889171	0.4939889287
318	0.8024764874	0.4937667775
319	0.8026341139	0.4935988331
320	0.8028442825	0.4933655037
321	0.8028968247	0.4931475212
322	0.8027917404	0.4929961606
323	0.8028092544	0.4927940355
324	0.8029143388	0.4926175923
325	0.802984395	0.4925021155
326	0.8030544512	0.4923029794
327	0.8033521901	0.4920626019
328	0.8034222464	0.4918899424
329	0.8035273307	0.4915573622
330	0.803614901	0.4913363032
331	0.8035798728	0.4911065834
332	0.803614901	0.4909068003
333	0.8036499291	0.4907397857
334	0.8037900415	0.4904636
335	0.8039651821	0.490235121
336	0.803947668	0.4900481303
337	0.8039126399	0.489810074
338	0.8040527523	0.4896620883
339	0.8042278929	0.4893935669
340	0.8041578367	0.4892146099
341	0.8044730897	0.4889130701
342	0.8045606599	0.4886587201
343	0.8047883426	0.4883629276
344	0.8048233708	0.4882099924
345	0.8048759129	0.4880711484
346	0.8051561378	0.4878076053
347	0.8052787362	0.4876020519
348	0.8052437081	0.4874301499
349	0.8054538767	0.4871617807
350	0.8054889048	0.4869849114
351	0.8055939892	0.4867884621
352	0.8056290173	0.4865833564
353	0.8056115032	0.4864127233
354	0.8055764751	0.4862526274
355	0.8057341016	0.4860386325
356	0.8059092422	0.4858710383
357	0.8058742141	0.4856389246
358	0.8060668687	0.4852581809
359	0.8061018968	0.4850959967
360	0.8059617843	0.4849604821
361	0.8061018968	0.4847589186
362	0.8061369249	0.4845963514
363	0.8060318406	0.4843868605
364	0.8063470935	0.4840577601
365	0.8065222341	0.4838566291
366	0.806819973	0.4836755765
367	0.806802459	0.4835243291
368	0.8067324028	0.4834178889
369	0.8069075433	0.4832474645
370	0.8070126276	0.4830848306
371	0.8069425714	0.4829273789
372	0.8070126276	0.4827068528
373	0.8070126276	0.4825739022
374	0.8071001979	0.4823796989
375	0.8072052822	0.4822418497
376	0.8072227963	0.4821095172
377	0.8072753385	0.4818705931
378	0.8073103666	0.4816723066
379	0.807432965	0.4815161543
380	0.8075555633	0.4813951901
381	0.8075730774	0.4812017781
382	0.8074679931	0.4810007466
383	0.8074679931	0.4808570459
384	0.8076956758	0.4807173319
385	0.8079759007	0.4805066166
386	0.8080459569	0.4801845038
387	0.8080459569	0.4800000865
388	0.8082561255	0.4798006372
389	0.8082210974	0.4795893924
390	0.8083261818	0.4793392297
391	0.8084662942	0.4791292186
392	0.8085538645	0.4789998231
393	0.8085013223	0.4788647489
394	0.8086764629	0.4787136265
395	0.8087815472	0.4784970201
396	0.8088165753	0.4782701221
397	0.8087990612	0.4781278472
398	0.8089216596	0.4779809239
399	0.8089566877	0.4778350838
400	0.8091668564	0.4776758313
401	0.8092544267	0.4774648718
402	0.8094821094	0.4772082858
403	0.8096397359	0.4769885085
404	0.8096397359	0.4767794933
405	0.8097798483	0.4765733849
406	0.8098674186	0.4764748443
407	0.8100425592	0.4762998335
408	0.8101126154	0.4760995688
409	0.8102877559	0.475871508
410	0.8104979246	0.4757113893
411	0.8105854949	0.4755664445
412	0.8106030089	0.4754296769
413	0.8105854949	0.4752382954
414	0.8106905792	0.4750946179
415	0.8107781495	0.4749762126
416	0.8108657197	0.4747496682
417	0.8108306916	0.4745116401
418	0.8109708041	0.4743667955
419	0.8108306916	0.4741597737
420	0.8109883181	0.4739911785
421	0.8111109165	0.4738667047
422	0.8111809727	0.4736751826
423	0.8110233462	0.4734377306
424	0.8111984868	0.4732836429
425	0.811251029	0.4730664295
426	0.8113035711	0.472826081
427	0.8114962257	0.4726865749
428	0.8115137398	0.4725775099
429	0.8116888803	0.4724091208
430	0.8117939647	0.4723217205
431	0.8119515912	0.4721418071
432	0.8118114787	0.4720222205
433	0.8120917036	0.4718575346
434	0.8120741895	0.4717683412
435	0.8122668441	0.4715635076
436	0.8123018723	0.4714113617
437	0.8124945269	0.4711582676
438	0.8125120409	0.4709423333
439	0.8126521534	0.4707711622
440	0.8126171252	0.4706253195
441	0.8126696674	0.4704686156
442	0.8127397236	0.4702928714
443	0.8129148642	0.4701195165
444	0.8129849204	0.4699974403
445	0.8130900047	0.4697554286
446	0.8131425469	0.4696376152
447	0.8132651453	0.4695505301
448	0.813177575	0.4693863046
449	0.8132126031	0.4693021905
450	0.8132826593	0.4691638483
451	0.8134402858	0.4689713758
452	0.8134577999	0.4688957724
453	0.8135453702	0.4688248776
454	0.8135803983	0.468650044
455	0.8135979123	0.4685345534
456	0.8135979123	0.468377828
457	0.8137029967	0.4681819904
458	0.8137905669	0.4680147851
459	0.8138606232	0.4678773227
460	0.8140182496	0.4677967665
461	0.8139131653	0.467673987
462	0.8140532778	0.4675471317
463	0.8141933902	0.4673864438
464	0.8142984745	0.4672425182
465	0.8142109043	0.4671358902
466	0.8143335026	0.4670145848
467	0.8143510167	0.4668778129
468	0.8144035589	0.4667015774
469	0.8145611854	0.4665716772
470	0.8145611854	0.4664517909
471	0.8145786994	0.4663405866
472	0.8147012978	0.4661712258
473	0.8147188118	0.4660187316
474	0.81475384	0.4659394333
475	0.8147888681	0.4657635572
476	0.8148589243	0.4656507608
477	0.8148764383	0.4655364862
478	0.8149114665	0.4654135735
479	0.8149289805	0.4652956051
480	0.8150690929	0.4651237621
481	0.815086607	0.4649908349
482	0.8152092054	0.4649086771
483	0.8153142897	0.4647912066
484	0.8152967757	0.4646438843
485	0.815419374	0.4644270894
486	0.815419374	0.4642078543
487	0.815419374	0.4641079545
488	0.815419374	0.463964217
489	0.8155244584	0.4636164936
490	0.8155419724	0.4634795608
491	0.8156295427	0.4633256857
492	0.8156120287	0.463190324
493	0.8155244584	0.4631022997
494	0.8155419724	0.4629908528
495	0.8156995989	0.462891343
496	0.8157521411	0.4627516848
497	0.8158046833	0.4626346791
498	0.8157871692	0.4624585995
499	0.8159447957	0.4622879935
500	0.8158922535	0.4622226393
501	0.8161549644	0.462028408
502	0.8163125909	0.461880829
503	0.8163826471	0.4617753331
504	0.816365133	0.4616823571
505	0.8165577876	0.4615370043
506	0.8165227595	0.4613837819
507	0.8164877314	0.46128536
508	0.8168730406	0.4611883045
509	0.8169255828	0.4610068429
510	0.8170131531	0.4608615002
511	0.8171357514	0.4607309027
512	0.8172758639	0.4605847985
513	0.8171532655	0.4604878083
514	0.8172233217	0.4603846345
515	0.8173984623	0.4601790975
516	0.8173984623	0.4599942414
517	0.8174159763	0.4598633261
518	0.8174159763	0.4598397785
519	0.8175560888	0.4597587444
520	0.8175736028	0.459676151
521	0.8176086309	0.4595779548
522	0.8176786871	0.4594708554
523	0.817626145	0.4593882271
524	0.8176786871	0.4591812179
525	0.8176611731	0.4590652457
526	0.8176611731	0.4589257704
527	0.8176962012	0.4588405512
528	0.8176962012	0.4587864637
529	0.8178187996	0.4586570871
530	0.8178187996	0.4584481372
531	0.8179939401	0.4582573873
532	0.8181865947	0.458163387
533	0.8182216229	0.458099725
534	0.8184493056	0.4579864377
535	0.818571904	0.4578637794
536	0.8186069321	0.4577659088
537	0.8187120164	0.4576365462
538	0.8187120164	0.4574931251
539	0.8187470445	0.457412328
540	0.8187820726	0.4573398747
541	0.8187995867	0.4571878426
542	0.8188871569	0.4570782274
543	0.8188871569	0.4569855791
544	0.8189572132	0.4568677763
545	0.8191498678	0.4567146243
546	0.819237438	0.4565794343
547	0.8192899802	0.4564176629
548	0.819237438	0.4563482833
549	0.8192724662	0.4562044217
550	0.8192549521	0.4561143227
551	0.8193600364	0.4559951024
552	0.8193950645	0.4558574469
553	0.8193775505	0.4557147669
554	0.8194300926	0.455600559
555	0.8194476067	0.4554977211
556	0.819552691	0.4554348677
557	0.8195877191	0.4553329777
558	0.8197453456	0.4551165985
559	0.8197803737	0.4549979621
560	0.8199380002	0.4548896046
561	0.8200080565	0.4547634429
562	0.8200080565	0.4546546398
563	0.8201306549	0.4545293114
564	0.8203233095	0.4544138939
565	0.8203933657	0.454311999
566	0.8205334781	0.4542164774
567	0.8206560765	0.4540810776
568	0.8206035343	0.4539904213
569	0.8206210484	0.4538423906
570	0.8205685062	0.4537167673
571	0.820480936	0.4536280482
572	0.8206911046	0.45352389
573	0.8208837592	0.4533480055
574	0.8209187873	0.4532510442
575	0.8209363014	0.4530868132
576	0.8209713295	0.452933092
577	0.8209888435	0.4528971531
578	0.8210764138	0.4527519798
579	0.8211114419	0.4526469086
580	0.8211114419	0.4525462516
581	0.82114647	0.4523896984
582	0.8211639841	0.452279958
583	0.8212690684	0.4521340737
584	0.8211114419	0.4519814732
585	0.8211639841	0.4518682264
586	0.8212340403	0.4517524035
587	0.8214266949	0.4516593593
588	0.8213916668	0.4515577169
589	0.8215492933	0.4514346997
590	0.8216368636	0.4513724969
591	0.8217069198	0.4512845284
592	0.8216543776	0.4512159161
593	0.8218120041	0.451117651
594	0.8218820604	0.4509721631
595	0.8219521166	0.4508021526
596	0.8219871447	0.4507142152
597	0.8219521166	0.4506453578
598	0.8220221728	0.4505869094
599	0.8223023977	0.4503889315
600	0.8221973133	0.4502737793
601	0.8221797993	0.4501396561
602	0.8223374258	0.4500129739
603	0.8224249961	0.4498379044
604	0.8225125663	0.449612708
605	0.8224249961	0.4494597341
606	0.8227752772	0.4493350341
607	0.8228453334	0.4492525267
608	0.8228978755	0.4491407795
609	0.8229504177	0.4490449795
610	0.8229504177	0.4489011265
611	0.8229679318	0.4487794381
612	0.8231080442	0.4486352054
613	0.8231430723	0.4485143988
614	0.8232831848	0.4484189613
615	0.8233182129	0.4483063085
616	0.823353241	0.4482325581
617	0.8233006988	0.4481507632
618	0.8233882691	0.4479564728
619	0.8234583253	0.4478224444
620	0.8234408113	0.4477380577
621	0.8236159518	0.4476351098
622	0.8236509799	0.4475314767
623	0.8235809237	0.4474230282
624	0.8238436345	0.4472385923
625	0.8238086064	0.4471627107
626	0.823983747	0.4470633632
627	0.8238786626	0.446949759
628	0.824001261	0.4468483468
629	0.8240888313	0.4466799703
630	0.8240538032	0.446599288
631	0.8240888313	0.4464825574
632	0.8241063453	0.4464024169
633	0.8241764016	0.4462524566
634	0.8242289437	0.4461284506
635	0.8242814859	0.4459601176
636	0.8243865702	0.4458766806
637	0.8244040843	0.4457853659
638	0.8245967389	0.4456952236
639	0.824631767	0.4455563956
640	0.8247368513	0.4453670158
641	0.8248769638	0.4452957273
642	0.8248594497	0.4451923013
643	0.8247193373	0.4450749228
644	0.8247543654	0.4449223791
645	0.8247893935	0.4447666662
646	0.8247543654	0.4446439996
647	0.8248244216	0.4445790736
648	0.8249995621	0.4444602592
649	0.82494702	0.4443892364
650	0.8249995621	0.4443009138
651	0.8252447589	0.4442168365
652	0.8252973011	0.4441338854
653	0.8253673573	0.4440324414
654	0.8253848714	0.4439541802
655	0.8255600119	0.4438695129
656	0.8255249838	0.4437681627
657	0.8256125541	0.443672254
658	0.8257176384	0.4435276229
659	0.8257526665	0.4434293151
660	0.8257351525	0.4433882363
661	0.8257526665	0.4433382051
662	0.8257351525	0.443226277
663	0.8257876946	0.4430755836
664	0.825892779	0.4429558765
665	0.8260328914	0.4428073121
